call_id,topic,tone,customer_text
CALL20250915-0015,insurance_new_policy,harsh,"Mr. Singh: I’m considering a term insurance plan for ₹15000 sum assured. Share options, premium, and riders. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. Keep it short and specific. If needed, I can visit the branch on 12-Sep-2025."
CALL20250915-0016,insurance_claim_status,frustrated,Ms. Nair: I submitted an insurance claim 29-Aug-2025 with reference CLM1158767. What’s the status and next steps? I have been waiting longer than expected and it’s inconvenient. Please expedite and keep me posted. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. Please share a ticket number for reference.
CALL20250915-0017,loan_approval_status,harsh,"Ms. Kaur: I filed a loan application 08-Sep-2025 with ID APP275579. What is the current approval status and expected timeline? If it isn’t resolved, I will escalate a formal complaint. Do not send scripted replies; address the issue directly. Kindly confirm by email and SMS. Please share a ticket number for reference."
CALL20250915-0018,policy_renewal,harsh,"Mr. Gupta: My policy POL98244336 is due for renewal next week. Explain renewal steps and if any grace period applies. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My email on record is verified; last update was on 31-Jul-2025."
CALL20250915-0019,insurance_claim_status,neutral,Mr. Banerjee: I submitted an insurance claim 30-Aug-2025 with reference CLM1627944. What’s the status and next steps? Please share the exact steps and any documents required. Kindly confirm the figures and timelines. Kindly confirm by email and SMS. I prefer communication by SMS for quick updates.
CALL20250915-0020,policy_cancellation,polite,"Mrs. Rao: I want to cancel my policy POL97912072 and understand the refund rules. Tell me the procedure and timelines. Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Kindly confirm by email and SMS. If needed, I can visit the branch on 06-Sep-2025."
CALL20250915-0021,loan_approval_status,polite,Ms. Nair: I filed a loan application 12-Sep-2025 with ID APP200262. What is the current approval status and expected timeline? Kindly guide me through the process and email a summary as well. Could you please help me with this? I’d really appreciate it. Keep it short and specific. I prefer communication by SMS for quick updates.
CALL20250915-0022,account_closing,harsh,"Mr. Gupta: I’d like to close my savings account ending 0233. Tell me the exact process and any charges involved. This is ridiculous and far below service standards. If it isn’t resolved, I will escalate a formal complaint. Keep it short and specific. I prefer communication by SMS for quick updates."
CALL20250915-0023,policy_renewal,harsh,"Ms. Chawla: My policy POL24666589 is due for renewal next week. Explain renewal steps and if any grace period applies. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. If needed, I can visit the branch on 12-Sep-2025."
CALL20250915-0024,loan_inquiry,aggressive,"Mr. Khan: I’m exploring a personal loan around ₹120000. What would be the interest rate, EMI, and tenure options? I’ve repeated this multiple times; I want action now. This delay is unacceptable; I expect a concrete resolution today. Kindly confirm by email and SMS. If needed, I can visit the branch on 05-Sep-2025."
CALL20250915-0025,loan_inquiry,polite,"Mr. Gupta: I’m exploring a personal loan around ₹325000. What would be the interest rate, EMI, and tenure options? Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Keep it short and specific. My email on record is verified; last update was on 12-Sep-2025."
CALL20250915-0026,loan_inquiry,polite,"Ms. Chawla: I’m exploring a personal loan around ₹120000. What would be the interest rate, EMI, and tenure options? Thanks in advance for your support. Could you please help me with this? I’d really appreciate it. Kindly confirm by email and SMS. Please share a ticket number for reference."
CALL20250915-0027,loan_inquiry,polite,"Mr. Khan: I’m exploring a personal loan around ₹600000. What would be the interest rate, EMI, and tenure options? Thanks in advance for your support. Could you please help me with this? I’d really appreciate it. Keep it short and specific. I prefer communication by SMS for quick updates."
CALL20250915-0028,loan_closure,neutral,Ms. Nair: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. Kindly confirm the figures and timelines. I need the details so I can decide. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT.
CALL20250915-0029,account_closing,neutral,Mr. Iyer: I’d like to close my savings account ending 6934. Tell me the exact process and any charges involved. I need the details so I can decide. Kindly confirm the figures and timelines. Kindly confirm by email and SMS.
CALL20250915-0030,policy_renewal,harsh,"Mr. Reddy: My policy POL07202727 is due for renewal next week. Explain renewal steps and if any grace period applies. If it isn’t resolved, I will escalate a formal complaint. Do not send scripted replies; address the issue directly. Kindly confirm by email and SMS. My email on record is verified; last update was on 12-Sep-2025."
