call_id,topic,tone,customer_text
CALL20250915-0015,insurance_new_policy,harsh,"Mr. Singh: I’m considering a term insurance plan for ₹15000 sum assured. Share options, premium, and riders. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. Keep it short and specific. If needed, I can visit the branch on 12-Sep-2025."
CALL20250915-0016,insurance_claim_status,frustrated,Ms. Nair: I submitted an insurance claim 29-Aug-2025 with reference CLM1158767. What’s the status and next steps? I have been waiting longer than expected and it’s inconvenient. Please expedite and keep me posted. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. Please share a ticket number for reference.
CALL20250915-0017,loan_approval_status,harsh,"Ms. Kaur: I filed a loan application 08-Sep-2025 with ID APP275579. What is the current approval status and expected timeline? If it isn’t resolved, I will escalate a formal complaint. Do not send scripted replies; address the issue directly. Kindly confirm by email and SMS. Please share a ticket number for reference."
CALL20250915-0018,policy_renewal,harsh,"Mr. Gupta: My policy POL98244336 is due for renewal next week. Explain renewal steps and if any grace period applies. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My email on record is verified; last update was on 31-Jul-2025."
CALL20250915-0019,insurance_claim_status,neutral,Mr. Banerjee: I submitted an insurance claim 30-Aug-2025 with reference CLM1627944. What’s the status and next steps? Please share the exact steps and any documents required. Kindly confirm the figures and timelines. Kindly confirm by email and SMS. I prefer communication by SMS for quick updates.
CALL20250915-0020,policy_cancellation,polite,"Mrs. Rao: I want to cancel my policy POL97912072 and understand the refund rules. Tell me the procedure and timelines. Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Kindly confirm by email and SMS. If needed, I can visit the branch on 06-Sep-2025."
CALL20250915-0021,loan_approval_status,polite,Ms. Nair: I filed a loan application 12-Sep-2025 with ID APP200262. What is the current approval status and expected timeline? Kindly guide me through the process and email a summary as well. Could you please help me with this? I’d really appreciate it. Keep it short and specific. I prefer communication by SMS for quick updates.
CALL20250915-0022,account_closing,harsh,"Mr. Gupta: I’d like to close my savings account ending 0233. Tell me the exact process and any charges involved. This is ridiculous and far below service standards. If it isn’t resolved, I will escalate a formal complaint. Keep it short and specific. I prefer communication by SMS for quick updates."
CALL20250915-0023,policy_renewal,harsh,"Ms. Chawla: My policy POL24666589 is due for renewal next week. Explain renewal steps and if any grace period applies. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. If needed, I can visit the branch on 12-Sep-2025."
CALL20250915-0024,loan_inquiry,aggressive,"Mr. Khan: I’m exploring a personal loan around ₹120000. What would be the interest rate, EMI, and tenure options? I’ve repeated this multiple times; I want action now. This delay is unacceptable; I expect a concrete resolution today. Kindly confirm by email and SMS. If needed, I can visit the branch on 05-Sep-2025."
CALL20250915-0025,loan_inquiry,polite,"Mr. Gupta: I’m exploring a personal loan around ₹325000. What would be the interest rate, EMI, and tenure options? Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Keep it short and specific. My email on record is verified; last update was on 12-Sep-2025."
CALL20250915-0026,loan_inquiry,polite,"Ms. Chawla: I’m exploring a personal loan around ₹120000. What would be the interest rate, EMI, and tenure options? Thanks in advance for your support. Could you please help me with this? I’d really appreciate it. Kindly confirm by email and SMS. Please share a ticket number for reference."
CALL20250915-0027,loan_inquiry,polite,"Mr. Khan: I’m exploring a personal loan around ₹600000. What would be the interest rate, EMI, and tenure options? Thanks in advance for your support. Could you please help me with this? I’d really appreciate it. Keep it short and specific. I prefer communication by SMS for quick updates."
CALL20250915-0028,loan_closure,neutral,Ms. Nair: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. Kindly confirm the figures and timelines. I need the details so I can decide. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT.
CALL20250915-0029,account_closing,neutral,Mr. Iyer: I’d like to close my savings account ending 6934. Tell me the exact process and any charges involved. I need the details so I can decide. Kindly confirm the figures and timelines. Kindly confirm by email and SMS.
CALL20250915-0030,policy_renewal,harsh,"Mr. Reddy: My policy POL07202727 is due for renewal next week. Explain renewal steps and if any grace period applies. If it isn’t resolved, I will escalate a formal complaint. Do not send scripted replies; address the issue directly. Kindly confirm by email and SMS. My email on record is verified; last update was on 12-Sep-2025."
CALL20250915-0031,loan_approval_status,frustrated,Mr. Gupta: I filed a loan application 05-Sep-2025 with ID APP614490. What is the current approval status and expected timeline? I submitted all KYC documents and income proofs; please confirm if anything is pending on my end. I have been waiting longer than expected and it’s inconvenient. This delay is causing issues for my plans. Provide the exact steps and any reference numbers. My registered mobile ends with 2544.
CALL20250915-0032,insurance_claim_status,neutral,Mr. Khan: I submitted an insurance claim 29-Aug-2025 with reference CLM9422925. What’s the status and next steps? I need the details so I can decide. Pls share the exact steps and any documents required. Pls share steps & TAT. Email also ok.
CALL20250915-0033,account_closing,polite,Mr. Banerjee: I’d like to close my savings account ending 0044. Tell me the exact process and any charges involved. Pls guide me through the process and email a summary as well. Could you pls help me with this? I’d really appreciate it. Pls share steps & TAT. Email also ok.
CALL20250915-0034,loan_approval_status,harsh,"Mr. Sharma: I filed a loan application 05-Sep-2025 with ID APP203809. What is the current approval status and expected timeline? If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. Keep it short and specific."
CALL20250915-0035,insurance_new_policy,polite,"Ms. Roy: I’m considering a term insurance plan for ₹250000 sum assured. Share options, premium, and riders. Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Keep it short and specific. My email on record is verified; last update was on 11-Sep-2025."
CALL20250915-0036,card_activation,polite,Mr. Iyer: My new credit card ending 1422 arrived. Please instruct me on activation and initial PIN setup. Thanks in advance for your support. Kindly guide me through the process and email a summary as well. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My registered mobile ends with 4246.
CALL20250915-0037,account_closing,polite,Ms. Raina: I’d like to close my savings account ending 2994. Tell me the exact process and any charges involved. Could you pls help me with this? I’d really appreciate it. Thanks in advance for your support. Pls share steps & TAT. Email also ok.
CALL20250915-0038,account_closing,harsh,"Mr. Banerjee: I’d like to close my savings account ending 4533. Tell me the exact process and any charges involved. This is ridiculous and far below service standards. If it isn’t resolved, I will escalate a formal complaint. Pls share steps & TAT. Email also ok. My email on record is verified; last update was on 05-Aug-2025."
CALL20250915-0039,insurance_new_policy,polite,"Ms. Nair: I’m considering a term insurance plan for ₹120000 sum assured. Share options, premium, and riders. Could you pls help me with this? I’d really appreciate it. Thanks in advance for your support. Pls share steps & TAT. Email also ok. Please share a ticket number for reference."
CALL20250915-0040,policy_renewal,aggressive,"Ms. Kaur: My policy POL72191878 is due for renewal next week. Explain renewal steps and if any grace period applies. I’ve repeated this multiple times; I want action now. This delay is unacceptable; I expect a concrete resolution today. Pls share steps & TAT. Email also ok. If needed, I can visit the branch on 14-Sep-2025."
CALL20250915-0041,loan_closure,frustrated,Ms. Nair: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. Please expedite and keep me posted. I have been waiting longer than expected and it’s inconvenient. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT.
CALL20250915-0042,loan_inquiry,neutral,"Mr. Pillai: I’m exploring a personal loan around ₹120000. What would be the interest rate, EMI, and tenure options? My monthly budget for EMI is about ₹6430, and I’m fine with a tenure up to 48 months. Please share the exact steps and any documents required. I need the details so I can decide. Provide the exact steps and any reference numbers. Please share a ticket number for reference."
CALL20250915-0043,insurance_new_policy,neutral,"Ms. Nair: I’m considering a term insurance plan for ₹185000 sum assured. Share options, premium, and riders. I need the details so I can decide. Please share the exact steps and any documents required. Keep it short and specific."
CALL20250915-0044,policy_renewal,neutral,Mr. Singh: My policy POL38227294 is due for renewal next week. Explain renewal steps and if any grace period applies. I need the details so I can decide. Pls confirm the figures and timelines. Pls share steps & TAT. Email also ok. My registered mobile ends with 4905.
CALL20250915-0045,policy_cancellation,neutral,Ms. Patel: I want to cancel my policy POL14731011 and understand the refund rules. Tell me the procedure and timelines. Kindly confirm the figures and timelines. Please share the exact steps and any documents required. Kindly confirm by email and SMS. My registered mobile ends with 0633.
CALL20250915-0046,loan_approval_status,polite,Ms. Nair: I filed a loan application 11-Sep-2025 with ID APP573738. What is the current approval status and expected timeline? I submitted all KYC documents and income proofs; please confirm if anything is pending on my end. Could you please help me with this? I’d really appreciate it. Thanks in advance for your support. Provide the exact steps and any reference numbers.
CALL20250915-0047,insurance_claim_status,neutral,Ms. Kaur: I submitted an insurance claim 25-Aug-2025 with reference CLM7000927. What’s the status and next steps? Pls confirm the figures and timelines. Pls share the exact steps and any documents required. Pls share steps & TAT. Email also ok.
CALL20250915-0048,card_activation,neutral,Mr. Khan: My new credit card ending 0249 arrived. Please instruct me on activation and initial PIN setup. Please share the exact steps and any documents required. Kindly confirm the figures and timelines. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT.
CALL20250915-0049,loan_closure,frustrated,"Mr. Verma: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. My monthly budget for EMI is about ₹1980, and I’m fine with a tenure up to 48 months. This delay is causing issues for my plans. Please expedite and keep me posted. Provide the exact steps and any reference numbers. If needed, I can visit the branch on 07-Sep-2025."
CALL20250915-0050,loan_closure,harsh,"Mr. Khan: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. Kindly confirm by email and SMS. Please share a ticket number for reference."
CALL20250915-0051,policy_cancellation,harsh,"Ms. Raina: I want to cancel my policy POL86182537 and understand the refund rules. Tell me the procedure and timelines. This is ridiculous and far below service standards. If it isn’t resolved, I will escalate a formal complaint. Keep it short and specific. Please share a ticket number for reference."
CALL20250915-0052,card_activation,harsh,Mr. Reddy: My new credit card ending 2869 arrived. Please instruct me on activation and initial PIN setup. This is ridiculous and far below service standards. Do not send scripted replies; address the issue directly. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My registered mobile ends with 4889.
CALL20250915-0053,account_closing,frustrated,Mr. Singh: I’d like to close my savings account ending 9384. Tell me the exact process and any charges involved. This delay is causing issues for my plans. I have been waiting longer than expected and it’s inconvenient. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My email on record is verified; last update was on 22-Aug-2025.
CALL20250915-0054,card_activation,neutral,Mr. Sharma: My new credit card ending 8436 arrived. Please instruct me on activation and initial PIN setup. I need the details so I can decide. Kindly confirm the figures and timelines. Keep it short and specific. My email on record is verified; last update was on 26-Jul-2025.
CALL20250915-0055,policy_renewal,neutral,Mr. Banerjee: My policy POL64239353 is due for renewal next week. Explain renewal steps and if any grace period applies. Please share the exact steps and any documents required. I need the details so I can decide. Keep it short and specific. My registered mobile ends with 8931.
CALL20250915-0056,insurance_new_policy,harsh,"Mrs. Rao: I’m considering a term insurance plan for ₹25000 sum assured. Share options, premium, and riders. If it isn’t resolved, I will escalate a formal complaint. Do not send scripted replies; address the issue directly. Pls share steps & TAT. Email also ok. I prefer communication by SMS for quick updates."
CALL20250915-0057,card_block_unblock,aggressive,Mr. Iyer: My card ending 3110 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. I’ve repeated this multiple times; I want action now. Stop pushing generic updates and fix it. Keep it short and specific.
CALL20250915-0058,insurance_claim_status,polite,Mr. Banerjee: I submitted an insurance claim 12-Sep-2025 with reference CLM9681724. What’s the status and next steps? Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My email on record is verified; last update was on 21-Aug-2025.
CALL20250915-0059,account_closing,neutral,Ms. Patel: I’d like to close my savings account ending 6334. Tell me the exact process and any charges involved. Kindly confirm the figures and timelines. Please share the exact steps and any documents required. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My email on record is verified; last update was on 22-Aug-2025.
CALL20250915-0060,loan_inquiry,neutral,"Mr. Pillai: I’m exploring a personal loan around ₹75000. What would be the interest rate, EMI, and tenure options? Pls share the exact steps and any documents required. Pls confirm the figures and timelines. Pls share steps & TAT. Email also ok. Please share a ticket number for reference."
CALL20250915-0061,policy_renewal,polite,Ms. Patel: My policy POL60775053 is due for renewal next week. Explain renewal steps and if any grace period applies. Could you please help me with this? I’d really appreciate it. Thanks in advance for your support. Kindly confirm by email and SMS.
CALL20250915-0062,insurance_claim_status,polite,Ms. Kaur: I submitted an insurance claim 12-Sep-2025 with reference CLM8623694. What’s the status and next steps? Kindly guide me through the process and email a summary as well. Thanks in advance for your support. Keep it short and specific. My email on record is verified; last update was on 12-Sep-2025.
CALL20250915-0063,card_activation,frustrated,Ms. Das: My new credit card ending 7270 arrived. Pls instruct me on activation and initial PIN setup. This delay is causing issues for my plans. Pls expedite and keep me posted. Pls share steps & TAT. Email also ok.
CALL20250915-0064,card_block_unblock,neutral,"Mr. Iyer: My card ending 3741 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. I’m ready to verify via OTP; if replacement is needed, tell me the fee and delivery timeline. Kindly confirm the figures and timelines. I need the details so I can decide. Provide the exact steps and any reference numbers."
CALL20250915-0065,card_block_unblock,aggressive,Ms. Kaur: My card ending 1645 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. This delay is unacceptable; I expect a concrete resolution today. Stop pushing generic updates and fix it. Kindly confirm by email and SMS. I prefer communication by SMS for quick updates.
CALL20250915-0066,card_block_unblock,polite,Ms. Menon: My card ending 5264 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. Could you pls help me with this? I’d really appreciate it. Thanks in advance for your support. Pls share steps & TAT. Email also ok.
CALL20250915-0067,card_activation,polite,"Mr. Sharma: My new credit card ending 0885 arrived. Please instruct me on activation and initial PIN setup. If app activation is possible, I prefer that. Otherwise, share the IVR steps. Thanks in advance for your support. Kindly guide me through the process and email a summary as well. Provide the exact steps and any reference numbers. My registered mobile ends with 6541."
CALL20250915-0068,insurance_new_policy,neutral,"Ms. Patel: I’m considering a term insurance plan for ₹25000 sum assured. Share options, premium, and riders. I need the details so I can decide. Kindly confirm the figures and timelines. Keep it short and specific."
CALL20250915-0069,loan_closure,polite,Ms. Menon: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. Thanks in advance for your support. Could you please help me with this? I’d really appreciate it. Kindly confirm by email and SMS.
CALL20250915-0070,insurance_claim_status,neutral,Ms. Das: I submitted an insurance claim 07-Sep-2025 with reference CLM9261899. What’s the status and next steps? Pls share the exact steps and any documents required. I need the details so I can decide. Pls share steps & TAT. Email also ok. My email on record is verified; last update was on 12-Aug-2025.
CALL20250915-0071,loan_approval_status,harsh,"Ms. Das: I filed a loan application 06-Sep-2025 with ID APP982191. What is the current approval status and expected timeline? If it isn’t resolved, I will escalate a formal complaint. Do not send scripted replies; address the issue directly. Kindly confirm by email and SMS. I prefer communication by SMS for quick updates."
CALL20250915-0072,loan_inquiry,aggressive,"Ms. Kaur: I’m exploring a personal loan around ₹600000. What would be the interest rate, EMI, and tenure options? I’ve repeated this multiple times; I want action now. This delay is unacceptable; I expect a concrete resolution today. Pls share steps & TAT. Email also ok. I prefer communication by SMS for quick updates."
CALL20250915-0073,loan_closure,polite,Mr. Sharma: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. Could you please help me with this? I’d really appreciate it. Thanks in advance for your support. Keep it short and specific.
CALL20250915-0074,card_block_unblock,neutral,Mr. Khan: My card ending 8773 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. I need the details so I can decide. Kindly confirm the figures and timelines. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT.
CALL20250915-0075,card_activation,polite,Mrs. Rao: My new credit card ending 7623 arrived. Please instruct me on activation and initial PIN setup. Kindly guide me through the process and email a summary as well. Could you please help me with this? I’d really appreciate it. Keep it short and specific.
CALL20250915-0076,policy_cancellation,polite,Mr. Sharma: I want to cancel my policy POL70504057 and understand the refund rules. Tell me the procedure and timelines. Kindly share the pro-rated refund amount and how long refunds usually take. Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Provide the exact steps and any reference numbers. My registered mobile ends with 1027.
CALL20250915-0077,insurance_claim_status,frustrated,Ms. Chawla: I submitted an insurance claim 27-Aug-2025 with reference CLM3829226. What’s the status and next steps? This delay is causing issues for my plans. I have been waiting longer than expected and it’s inconvenient. Keep it short and specific.
CALL20250915-0078,card_block_unblock,polite,Mr. Banerjee: My card ending 8746 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. Pls guide me through the process and email a summary as well. Could you pls help me with this? I’d really appreciate it. Pls share steps & TAT. Email also ok.
CALL20250915-0079,loan_closure,polite,"Ms. Patel: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. Kindly guide me through the process and email a summary as well. Thanks in advance for your support. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. If needed, I can visit the branch on 12-Sep-2025."
CALL20250915-0080,policy_cancellation,neutral,Mr. Pillai: I want to cancel my policy POL66527867 and understand the refund rules. Tell me the procedure and timelines. Kindly share the pro-rated refund amount and how long refunds usually take. I need the details so I can decide. Please share the exact steps and any documents required. Provide the exact steps and any reference numbers. My registered mobile ends with 6329.
CALL20250915-0081,account_closing,polite,Ms. Menon: I’d like to close my savings account ending 7416. Tell me the exact process and any charges involved. Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Keep it short and specific. I prefer communication by SMS for quick updates.
CALL20250915-0082,card_activation,polite,Mr. Gupta: My new credit card ending 6479 arrived. Please instruct me on activation and initial PIN setup. Kindly guide me through the process and email a summary as well. Thanks in advance for your support. Keep it short and specific.
CALL20250915-0083,loan_closure,frustrated,Ms. Nair: I want to close my loan and obtain the NOC. Pls confirm the foreclosure amount today and the steps to finish closure. This delay is causing issues for my plans. Pls expedite and keep me posted. Pls share steps & TAT. Email also ok. Please share a ticket number for reference.
CALL20250915-0084,insurance_claim_status,polite,Ms. Nair: I submitted an insurance claim 29-Aug-2025 with reference CLM6916734. What’s the status and next steps? Could you please help me with this? I’d really appreciate it. Thanks in advance for your support. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. I prefer communication by SMS for quick updates.
CALL20250915-0085,insurance_claim_status,polite,Mr. Reddy: I submitted an insurance claim 14-Sep-2025 with reference CLM6854926. What’s the status and next steps? Pls guide me through the process and email a summary as well. Could you pls help me with this? I’d really appreciate it. Pls share steps & TAT. Email also ok. My registered mobile ends with 7662.
CALL20250915-0086,insurance_new_policy,harsh,"Mr. Gupta: I’m considering a term insurance plan for ₹25000 sum assured. Share options, premium, and riders. I’d like accidental and critical illness riders if available; also indicate medical check-up requirements. This is ridiculous and far below service standards. If it isn’t resolved, I will escalate a formal complaint. Provide the exact steps and any reference numbers. My email on record is verified; last update was on 25-Jul-2025."
CALL20250915-0087,loan_closure,harsh,"Mr. Singh: I want to close my loan and obtain the NOC. Please confirm the foreclosure amount today and the steps to finish closure. If it isn’t resolved, I will escalate a formal complaint. This is ridiculous and far below service standards. Kindly confirm by email and SMS. If needed, I can visit the branch on 08-Sep-2025."
CALL20250915-0088,policy_renewal,frustrated,"Ms. Roy: My policy POL72769648 is due for renewal next week. Explain renewal steps and if any grace period applies. This delay is causing issues for my plans. Pls expedite and keep me posted. Pls share steps & TAT. Email also ok. If needed, I can visit the branch on 13-Sep-2025."
CALL20250915-0089,loan_closure,harsh,"Ms. Patel: I want to close my loan and obtain the NOC. Pls confirm the foreclosure amount today and the steps to finish closure. This is ridiculous and far below service standards. If it isn’t resolved, I will escalate a formal complaint. Pls share steps & TAT. Email also ok. My registered mobile ends with 7186."
CALL20250915-0090,card_activation,neutral,Mr. Iyer: My new credit card ending 8147 arrived. Please instruct me on activation and initial PIN setup. I need the details so I can decide. Please share the exact steps and any documents required. Kindly confirm by email and SMS. I prefer communication by SMS for quick updates.
CALL20250915-0091,card_activation,neutral,Mr. Reddy: My new credit card ending 0861 arrived. Please instruct me on activation and initial PIN setup. I need the details so I can decide. Please share the exact steps and any documents required. Keep it short and specific.
CALL20250915-0092,insurance_claim_status,neutral,Ms. Raina: I submitted an insurance claim 26-Aug-2025 with reference CLM8084568. What’s the status and next steps? Please share the exact steps and any documents required. Kindly confirm the figures and timelines. Keep it short and specific. My registered mobile ends with 4906.
CALL20250915-0093,card_block_unblock,aggressive,Mr. Reddy: My card ending 4712 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. I’ve repeated this multiple times; I want action now. This delay is unacceptable; I expect a concrete resolution today. Kindly confirm by email and SMS.
CALL20250915-0094,account_closing,polite,Ms. Nair: I’d like to close my savings account ending 2023. Tell me the exact process and any charges involved. There are no active auto-debits that I know of; kindly verify and let me know if I must visit a branch. Kindly guide me through the process and email a summary as well. Thanks in advance for your support. Provide the exact steps and any reference numbers.
CALL20250915-0095,card_block_unblock,neutral,"Mr. Iyer: My card ending 5670 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. I’m ready to verify via OTP; if replacement is needed, tell me the fee and delivery timeline. Kindly confirm the figures and timelines. Please share the exact steps and any documents required. Provide the exact steps and any reference numbers. My registered mobile ends with 5030."
CALL20250915-0096,policy_renewal,harsh,Mr. Banerjee: My policy POL66656264 is due for renewal next week. Explain renewal steps and if any grace period applies. This is ridiculous and far below service standards. Do not send scripted replies; address the issue directly. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My email on record is verified; last update was on 17-Jul-2025.
CALL20250915-0097,card_activation,frustrated,"Ms. Menon: My new credit card ending 1005 arrived. Please instruct me on activation and initial PIN setup. If app activation is possible, I prefer that. Otherwise, share the IVR steps. Please expedite and keep me posted. I have been waiting longer than expected and it’s inconvenient. Provide the exact steps and any reference numbers. Please share a ticket number for reference."
CALL20250915-0098,insurance_claim_status,neutral,Mr. Iyer: I submitted an insurance claim 30-Aug-2025 with reference CLM7504864. What’s the status and next steps? I need the details so I can decide. Pls confirm the figures and timelines. Pls share steps & TAT. Email also ok. I prefer communication by SMS for quick updates.
CALL20250915-0099,account_closing,polite,Ms. Patel: I’d like to close my savings account ending 3761. Tell me the exact process and any charges involved. Could you please help me with this? I’d really appreciate it. Kindly guide me through the process and email a summary as well. Keep it short and specific.
CALL20250915-0100,loan_inquiry,neutral,"Mr. Khan: I’m exploring a personal loan around ₹250000. What would be the interest rate, EMI, and tenure options? Please share the exact steps and any documents required. Kindly confirm the figures and timelines. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. I prefer communication by SMS for quick updates."
CALL20250915-0101,insurance_claim_status,polite,Mr. Iyer: I submitted an insurance claim 11-Sep-2025 with reference CLM3664379. What’s the status and next steps? Thanks in advance for your support. Kindly guide me through the process and email a summary as well. Keep it short and specific. I prefer communication by SMS for quick updates.
CALL20250915-0102,loan_inquiry,aggressive,"Ms. Menon: I’m exploring a personal loan around ₹600000. What would be the interest rate, EMI, and tenure options? I’ve repeated this multiple times; I want action now. This delay is unacceptable; I expect a concrete resolution today. 1) confirm status/charges; 2) steps to proceed; 3) documents needed; 4) exact timeline/TAT. My registered mobile ends with 3668."
CALL20250915-0103,card_block_unblock,neutral,Ms. Das: My card ending 5880 got blocked after wrong PIN attempts. Help me unblock it or arrange a replacement. I need the details so I can decide. Pls confirm the figures and timelines. Pls share steps & TAT. Email also ok. My registered mobile ends with 2886.
CALL20250915-0104,policy_renewal,frustrated,Mr. Singh: My policy POL77930379 is due for renewal next week. Explain renewal steps and if any grace period applies. Pls expedite and keep me posted. I have been waiting longer than expected and it’s inconvenient. Pls share steps & TAT. Email also ok. I prefer communication by SMS for quick updates.
